ecosystem_id,company,credit_search_company,project_scope,exact_ibbi_match,ibbi_cirp_event,ibbi_nonvoluntary_liquidation_event,ibbi_voluntary_liquidation_event,ibbi_distress_event,company_cra,cra_ever_default_event,cra_ever_downgrade_event,cra_ever_upgrade_event,cra_ever_negative_outlook,cra_ever_noncooperating,latest_rating_agency,latest_rating_date,latest_rating_symbols,latest_rating_source,latest_nondefault_rating_evidence,observed_company_credit_distress_target,target_evidence_source,target_evidence_quality,target_level,target_definition,target_as_of_date,approval_date,temporal_validation,ml_eligible_credit_distress_target
DLI-003,Calligo Technologies Pvt. Ltd.,Calligo Technologies Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-004,Sensesemi Technologies Pvt. Ltd.,Sensesemi Technologies Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-005,Saankhya Labs Pvt. Ltd.,Saankhya Labs Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-006,Aryabhata Circuits and Research Labs Pvt. Ltd.,Aryabhata Circuits and Research Labs Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-007,BigEndian Semiconductors Pvt. Ltd.,BigEndian Semiconductors Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-008,C2i Semiconductors Pvt. Ltd.,C2i Semiconductors Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-009,MMRFIC Technology Pvt. Ltd.,MMRFIC Technology Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-010,Sophrosyne Technologies Pvt. Ltd.,Sophrosyne Technologies Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-011,Aagyavision Pvt. Ltd.,Aagyavision Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-012,Aheesa Digital Innovations Pvt. Ltd.,Aheesa Digital Innovations Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-013,Mindgrove Technologies Pvt. Ltd.,Mindgrove Technologies Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-014,InCore Semiconductors Pvt. Ltd.,InCore Semiconductors Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-015,MBit Wireless Pvt. Ltd.,MBit Wireless Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-016,Netrasemi Pvt. Ltd.,Netrasemi Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-017,Netrasemi Pvt. Ltd.,Netrasemi Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-018,Green PMU Semi Pvt. Ltd.,Green PMU Semi Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-019,WiSig Networks Pvt. Ltd.,WiSig Networks Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-020,MosChip Technologies Pvt. Ltd.,MosChip Technologies Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-021,Multi Nano Sense Technologies Pvt. Ltd.,Multi Nano Sense Technologies Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-022,Vervesemi Microelectronics Pvt. Ltd.,Vervesemi Microelectronics Pvt. Ltd.,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-023,Incise Infotech Limited,Incise Infotech Limited,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
DLI-024,DV2JS Innovation LLP,DV2JS Innovation LLP,Semiconductor Design,0,0,0,0,0,,,,,,,,,,,,,INSUFFICIENT_PUBLIC_EVIDENCE,UNLABELED,COMPANY_LEVEL,Observed public credit-distress event: IBBI CIRP/non-voluntary liquidation or CRA D rating. Negative class requires affirmative non-default CRA evidence.,2026-08-23,,NOT_APPLICABLE_UNLABELED,
