feature_1,feature_2,correlation,abs_correlation
rbi_electronics_credit_growth_volatility,total_gross_npa_addition_crore,-0.939628,0.939628
gross_npa_growth_pct,npa_addition_pressure,0.938965,0.938965
total_gross_npa_addition_crore,net_to_gross_npa_ratio,-0.933798,0.933798
rbi_electronics_credit_crore,total_gross_npa_closing_crore,-0.933756,0.933756
approval_year_analytical,npa_addition_pressure,0.93255,0.93255
net_to_gross_npa_ratio,analytical_exposure_percentile,-0.926638,0.926638
financial_rank_within_scope,analytical_exposure_percentile,0.923077,0.923077
log_investment_crore,analytical_exposure_percentile,0.922349,0.922349
log_financial_measure,analytical_exposure_percentile,0.922349,0.922349
rbi_electronics_credit_growth_pct,analytical_exposure_percentile,-0.907461,0.907461
rbi_electronics_credit_crore,rbi_electronics_credit_growth_volatility,0.906837,0.906837
total_gross_npa_closing_crore,total_gross_npa_writeoff_crore,0.906291,0.906291
log_financial_measure,analytical_exposure_index,0.901186,0.901186
log_investment_crore,analytical_exposure_index,0.901186,0.901186
